date,newCases
2022-01-01,28668
2022-01-02,29212
2022-01-03,29808
2022-01-04,31446
2022-01-05,34466
2022-01-06,37727
2022-01-07,39844
2022-01-08,43688
2022-01-09,46948
2022-01-10,48256
2022-01-11,50795
2022-01-12,53882
2022-01-13,57300
2022-01-14,61272
2022-01-15,64830
2022-01-16,67732
2022-01-17,69428
2022-01-18,73573
2022-01-19,79382
2022-01-20,86772
2022-01-21,95414
2022-01-22,104458
2022-01-23,110020
2022-01-24,113778
2022-01-25,121850
2022-01-26,131374
2022-01-27,139186
2022-01-28,146974
2022-01-29,153222
2022-01-30,157297
2022-01-31,159142
2022-02-01,161975
2022-02-02,167314
2022-02-03,173684
2022-02-04,179106
2022-02-05,182240
2022-02-06,183450
2022-02-07,184593
2022-02-08,187316
2022-02-09,190199
2022-02-10,191340
2022-02-11,190346
2022-02-12,189890
2022-02-13,188320
2022-02-14,187071
2022-02-15,184274
2022-02-16,181100
2022-02-17,178613
2022-02-18,176192
2022-02-19,172214
2022-02-20,171832
2022-02-21,170423
2022-02-22,167726
2022-02-23,166294
2022-02-24,163204
2022-02-25,159912
2022-02-26,158916
2022-02-27,157346
2022-02-28,156103
2022-03-01,154540
2022-03-02,151010
2022-03-03,150604
2022-03-04,153834
2022-03-05,156456
2022-03-06,158414
2022-03-07,161885
2022-03-08,167223
2022-03-09,174895
2022-03-10,182870
2022-03-11,188800
2022-03-12,195723
2022-03-13,200510
2022-03-14,201820
2022-03-15,207794
2022-03-16,213110
2022-03-17,219652
2022-03-18,225432
2022-03-19,227700
2022-03-20,225874
2022-03-21,225909
2022-03-22,230156
2022-03-23,232986
2022-03-24,233082
2022-03-25,231856
2022-03-26,230364
2022-03-27,229650
2022-03-28,226859
2022-03-29,222448
2022-03-30,218070
2022-03-31,211176
2022-04-01,203370
2022-04-02,194460
2022-04-03,187990
2022-04-04,184688
2022-04-05,177304
2022-04-06,168188
2022-04-07,158034
2022-04-08,148861
2022-04-09,143293
2022-04-10,140878
2022-04-11,140324
2022-04-12,138220
2022-04-13,134206
2022-04-14,129962
2022-04-15,127592
2022-04-16,115901
2022-04-17,112478
2022-04-18,111260
2022-04-19,96486
2022-04-20,93106
2022-04-21,96051
2022-04-22,96770
2022-04-23,105143
2022-04-24,105503
2022-04-25,104476
2022-04-26,116172
2022-04-27,113436
2022-04-28,104336
2022-04-29,95628
2022-04-30,89755
2022-05-01,86840
2022-05-02,85250
2022-05-03,80695
2022-05-04,76016
2022-05-05,72330
2022-05-06,70286
2022-05-07,68697
2022-05-08,67692
2022-05-09,67335
2022-05-10,67042
2022-05-11,65364
2022-05-12,63550
2022-05-13,61356
2022-05-14,59896
2022-05-15,58912
2022-05-16,58383
2022-05-17,55637
2022-05-18,51811
2022-05-19,48472
2022-05-20,45500
2022-05-21,43069
2022-05-22,42168
2022-05-23,41782
2022-05-24,39128
2022-05-25,36066
2022-05-26,33436
2022-05-27,28306
2022-05-28,27256
2022-05-29,26802
2022-05-30,26732
2022-05-31,26708
2022-06-01,27402
2022-06-02,28762
2022-06-03,33630
2022-06-04,34607
2022-06-05,34916
2022-06-06,35012
2022-06-07,29650
2022-06-08,32474
2022-06-09,37780
2022-06-10,41907
2022-06-11,45600
2022-06-12,46596
2022-06-13,47334
2022-06-14,58424
2022-06-15,61611
2022-06-16,61581
2022-06-17,56717
2022-06-18,58464
2022-06-19,58948
2022-06-20,59090
2022-06-21,61732
2022-06-22,66162
2022-06-23,70690
2022-06-24,79849
2022-06-25,81234
2022-06-26,81812
2022-06-27,82018
2022-06-28,83642
2022-06-29,85568
2022-06-30,87219
