t,date,smoothed_phi
4,2022-01-05,279.08358651807487
5,2022-01-06,261.04425737245117
6,2022-01-07,238.56085832755588
7,2022-01-08,215.87200775835666
8,2022-01-09,198.33871258291626
9,2022-01-10,188.55597433978642
10,2022-01-11,185.38695485055004
11,2022-01-12,185.88939265721996
12,2022-01-13,186.70871157451958
13,2022-01-14,183.5857196323554
14,2022-01-15,169.88633973903757
15,2022-01-16,139.5346670182346
16,2022-01-17,100.54816680795187
17,2022-01-18,71.95693230219491
18,2022-01-19,58.25075573085507
19,2022-01-20,53.148115551464755
20,2022-01-21,51.99915764392336
21,2022-01-22,53.2722490983568
22,2022-01-23,56.881360062010614
23,2022-01-24,62.862223886083
24,2022-01-25,70.70645500441111
25,2022-01-26,79.552421547482
26,2022-01-27,89.12191606895037
27,2022-01-28,100.65868693508736
28,2022-01-29,116.11215682382002
29,2022-01-30,133.6296248998681
30,2022-01-31,147.57297815628917
31,2022-02-01,157.3522346149511
32,2022-02-02,167.31374113574088
33,2022-02-03,181.66690429247276
34,2022-02-04,201.19956818961467
35,2022-02-05,221.61518844774633
36,2022-02-06,237.76067781954185
37,2022-02-07,248.57196677886537
38,2022-02-08,255.90655392687196
39,2022-02-09,262.23572693249935
40,2022-02-10,270.8127472923806
41,2022-02-11,287.794092708436
42,2022-02-12,323.57952178691
43,2022-02-13,381.1802842101254
44,2022-02-14,430.84434097323617
45,2022-02-15,437.3292313703812
46,2022-02-16,404.25260672437946
47,2022-02-17,352.2467174600039
48,2022-02-18,299.0362434718616
49,2022-02-19,255.96596743912178
50,2022-02-20,227.01807252524864
51,2022-02-21,210.71375637601597
52,2022-02-22,203.74287327192968
53,2022-02-23,203.9072990127354
54,2022-02-24,212.15248911683176
55,2022-02-25,233.9493087950284
56,2022-02-26,277.0007788977068
57,2022-02-27,339.19481249008584
58,2022-02-28,399.914806836547
59,2022-03-01,439.46276343676334
60,2022-03-02,454.9467546032839
61,2022-03-03,452.2062736874415
62,2022-03-04,438.6509440678362
63,2022-03-05,422.5042443720327
64,2022-03-06,411.73146881939215
65,2022-03-07,410.76751000055606
66,2022-03-08,418.24345032978533
67,2022-03-09,428.7544745663771
68,2022-03-10,436.3005781342898
69,2022-03-11,435.09579665470187
70,2022-03-12,419.22165086016605
71,2022-03-13,389.10518120156144
72,2022-03-14,358.4873370775486
73,2022-03-15,338.73891728498484
74,2022-03-16,328.5939520122704
75,2022-03-17,323.43641348592416
76,2022-03-18,320.32156772344126
77,2022-03-19,317.41136026458975
78,2022-03-20,312.80918083679035
79,2022-03-21,304.2468992042773
80,2022-03-22,290.3447414277543
81,2022-03-23,273.7289675073485
82,2022-03-24,263.13093667824603
83,2022-03-25,269.5726823736387
84,2022-03-26,298.1156381572084
85,2022-03-27,342.85054402388477
86,2022-03-28,391.38179627211844
87,2022-03-29,434.1152889956247
88,2022-03-30,466.3325034201643
89,2022-03-31,484.23611000614216
90,2022-04-01,483.20854208580636
91,2022-04-02,460.7543753364786
92,2022-04-03,420.8088533821679
93,2022-04-04,373.3411162837625
94,2022-04-05,328.20847961417115
95,2022-04-06,290.1056042439356
96,2022-04-07,259.1344161728142
97,2022-04-08,234.23786779666003
98,2022-04-09,215.07662930373542
99,2022-04-10,201.26112636946556
100,2022-04-11,191.37578524628424
101,2022-04-12,183.47489083579603
102,2022-04-13,176.32810797280834
103,2022-04-14,170.3515876363374
104,2022-04-15,167.10624618374504
105,2022-04-16,167.5378175027785
106,2022-04-17,171.5729115061622
107,2022-04-18,179.14246233191108
108,2022-04-19,190.65184205623228
109,2022-04-20,206.6818137439395
110,2022-04-21,227.51543893585676
111,2022-04-22,252.92414816590804
112,2022-04-23,282.220668296904
113,2022-04-24,314.01649212733946
114,2022-04-25,346.0256182870595
115,2022-04-26,376.43784072270506
116,2022-04-27,405.9098213562119
117,2022-04-28,438.4185498163498
118,2022-04-29,481.85807840017605
119,2022-04-30,548.0469437599169
120,2022-05-01,646.6863955415017
121,2022-05-02,769.7176159082553
122,2022-05-03,887.0138287922382
123,2022-05-04,972.5078442488481
124,2022-05-05,1022.9086339161166
125,2022-05-06,1048.3838821600204
126,2022-05-07,1060.642534750497
127,2022-05-08,1069.2009426998786
128,2022-05-09,1081.2827765078625
129,2022-05-10,1102.6596384590714
130,2022-05-11,1139.4385269828385
131,2022-05-12,1199.750605388055
132,2022-05-13,1293.8417501688837
133,2022-05-14,1433.0044625954351
134,2022-05-15,1628.2303421891572
135,2022-05-16,1887.3661213257678
136,2022-05-17,2208.395572734648
137,2022-05-18,2565.358911817081
138,2022-05-19,2881.058251668088
139,2022-05-20,2994.676365483654
140,2022-05-21,2712.106168270061
141,2022-05-22,2055.657148236519
142,2022-05-23,1363.5319467499262
143,2022-05-24,900.1029469622326
144,2022-05-25,667.5766163411282
145,2022-05-26,573.2595305026225
146,2022-05-27,544.552567198089
147,2022-05-28,542.458252203522
148,2022-05-29,548.6084175624383
149,2022-05-30,554.34517863531
150,2022-05-31,554.817574276763
151,2022-06-01,545.8927723677525
152,2022-06-02,522.3522425226749
153,2022-06-03,479.06639602781115
154,2022-06-04,419.4422755716904
155,2022-06-05,361.8140042383395
156,2022-06-06,322.6683017421103
157,2022-06-07,301.7705535546662
158,2022-06-08,291.5182770971327
159,2022-06-09,286.4648480650711
160,2022-06-10,284.83589533284
161,2022-06-11,287.60471186732843
162,2022-06-12,297.1034078764475
163,2022-06-13,315.10387845619607
164,2022-06-14,341.1590782366805
165,2022-06-15,372.5782041627303
166,2022-06-16,406.1303297293857
167,2022-06-17,438.93275431020584
168,2022-06-18,465.77507969468184
169,2022-06-19,477.6735686877596
170,2022-06-20,470.73074540260814
171,2022-06-21,451.7639476665695
172,2022-06-22,430.0213386186122
173,2022-06-23,412.09475045442764
174,2022-06-24,404.1396587440846
175,2022-06-25,415.31082251264223
176,2022-06-26,456.8744292698532
177,2022-06-27,529.22786147645
178,2022-06-28,608.7412987554682
179,2022-06-29,668.3698046475599
180,2022-06-30,702.6997353166984
